# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    0.290662    0.290660   394.504    1.338761
  0.010    0.432986    0.431727   354.391    1.881758
  0.015    0.423316    0.420721   342.488    2.123243
  0.020    0.394573    0.391774   337.413    2.249755
  0.025    0.373302    0.370726   333.790    2.329819
  0.030    0.363869    0.361558   330.718    2.396041
  0.035    0.363120    0.360990   328.279    2.455234
  0.040    0.367483    0.365447   326.432    2.507879
  0.045    0.373969    0.371969   325.063    2.552970
  0.050    0.380884    0.378894   324.075    2.589584
