     lambda = 0.290662 (  0.290660)  <log w>=  394.504K  N(Ef)= 1.338761 at degauss=0.005
     lambda = 0.432986 (  0.431727)  <log w>=  354.391K  N(Ef)= 1.881758 at degauss=0.010
     lambda = 0.423316 (  0.420721)  <log w>=  342.488K  N(Ef)= 2.123243 at degauss=0.015
     lambda = 0.394573 (  0.391774)  <log w>=  337.413K  N(Ef)= 2.249755 at degauss=0.020
     lambda = 0.373302 (  0.370726)  <log w>=  333.790K  N(Ef)= 2.329819 at degauss=0.025
     lambda = 0.363869 (  0.361558)  <log w>=  330.718K  N(Ef)= 2.396041 at degauss=0.030
     lambda = 0.363120 (  0.360990)  <log w>=  328.279K  N(Ef)= 2.455234 at degauss=0.035
     lambda = 0.367483 (  0.365447)  <log w>=  326.432K  N(Ef)= 2.507879 at degauss=0.040
     lambda = 0.373969 (  0.371969)  <log w>=  325.063K  N(Ef)= 2.552970 at degauss=0.045
     lambda = 0.380884 (  0.378894)  <log w>=  324.075K  N(Ef)= 2.589584 at degauss=0.050
lambda        omega_log          T_c
   0.29066       394.504              0.138
   0.43299       354.391              2.271
   0.42332       342.488              1.956
   0.39457       337.413              1.309
   0.37330       333.790              0.922
   0.36387       330.718              0.772
   0.36312       328.279              0.755
   0.36748       326.432              0.814
   0.37397       325.063              0.908
   0.38088       324.075              1.017
